,Data_Hora,Estacao_Ano,Feriado,Dia_Trabalho,Condicoes_Climaticas,Temperatura,Sensacao_Termica,Umidade,Velocidade_Vento,Usuarios_Casuais,Usuarios_Registrados,Total_Alugueis,Mes,Dia,Hora,Tempo_Limpo
0,2011-01-01 00:00:00,Primavera,0,0,Tempo Limpo,9.84,14.395,81,0.0,3,13,16,Janeiro,Sábado,0,1
1,2011-01-01 01:00:00,Primavera,0,0,Tempo Limpo,9.02,13.635,80,0.0,8,32,40,Janeiro,Sábado,1,1
2,2011-01-01 02:00:00,Primavera,0,0,Tempo Limpo,9.02,13.635,80,0.0,5,27,32,Janeiro,Sábado,2,1
3,2011-01-01 03:00:00,Primavera,0,0,Tempo Limpo,9.84,14.395,75,0.0,3,10,13,Janeiro,Sábado,3,1
4,2011-01-01 04:00:00,Primavera,0,0,Tempo Limpo,9.84,14.395,75,0.0,0,1,1,Janeiro,Sábado,4,1
5,2011-01-01 05:00:00,Primavera,0,0,Nublado,9.84,12.88,75,6.0032,0,1,1,Janeiro,Sábado,5,0
6,2011-01-01 06:00:00,Primavera,0,0,Tempo Limpo,9.02,13.635,80,0.0,2,0,2,Janeiro,Sábado,6,1
7,2011-01-01 07:00:00,Primavera,0,0,Tempo Limpo,8.2,12.88,86,0.0,1,2,3,Janeiro,Sábado,7,1
8,2011-01-01 08:00:00,Primavera,0,0,Tempo Limpo,9.84,14.395,75,0.0,1,7,8,Janeiro,Sábado,8,1
9,2011-01-01 09:00:00,Primavera,0,0,Tempo Limpo,13.12,17.425,76,0.0,8,6,14,Janeiro,Sábado,9,1
10,2011-01-01 10:00:00,Primavera,0,0,Tempo Limpo,15.58,19.695,76,16.9979,12,24,36,Janeiro,Sábado,10,1
11,2011-01-01 11:00:00,Primavera,0,0,Tempo Limpo,14.76,16.665,81,19.0012,26,30,56,Janeiro,Sábado,11,1
12,2011-01-01 12:00:00,Primavera,0,0,Tempo Limpo,17.22,21.21,77,19.0012,29,55,84,Janeiro,Sábado,12,1
13,2011-01-01 13:00:00,Primavera,0,0,Nublado,18.86,22.725,72,19.9995,47,47,94,Janeiro,Sábado,13,0
14,2011-01-01 14:00:00,Primavera,0,0,Nublado,18.86,22.725,72,19.0012,35,71,106,Janeiro,Sábado,14,0
15,2011-01-01 15:00:00,Primavera,0,0,Nublado,18.04,21.97,77,19.9995,40,70,110,Janeiro,Sábado,15,0
16,2011-01-01 16:00:00,Primavera,0,0,Nublado,17.22,21.21,82,19.9995,41,52,93,Janeiro,Sábado,16,0
17,2011-01-01 17:00:00,Primavera,0,0,Nublado,18.04,21.97,82,19.0012,15,52,67,Janeiro,Sábado,17,0
18,2011-01-01 18:00:00,Primavera,0,0,Chuva Leve/Neve Leve ,17.22,21.21,88,16.9979,9,26,35,Janeiro,Sábado,18,0
19,2011-01-01 19:00:00,Primavera,0,0,Chuva Leve/Neve Leve ,17.22,21.21,88,16.9979,6,31,37,Janeiro,Sábado,19,0
20,2011-01-01 20:00:00,Primavera,0,0,Nublado,16.4,20.455,87,16.9979,11,25,36,Janeiro,Sábado,20,0
21,2011-01-01 21:00:00,Primavera,0,0,Nublado,16.4,20.455,87,12.998,3,31,34,Janeiro,Sábado,21,0
22,2011-01-01 22:00:00,Primavera,0,0,Nublado,16.4,20.455,94,15.0013,11,17,28,Janeiro,Sábado,22,0
23,2011-01-01 23:00:00,Primavera,0,0,Nublado,18.86,22.725,88,19.9995,15,24,39,Janeiro,Sábado,23,0
24,2011-01-02 00:00:00,Primavera,0,0,Nublado,18.86,22.725,88,19.9995,4,13,17,Janeiro,Domingo,0,0
25,2011-01-02 01:00:00,Primavera,0,0,Nublado,18.04,21.97,94,16.9979,1,16,17,Janeiro,Domingo,1,0
26,2011-01-02 02:00:00,Primavera,0,0,Nublado,17.22,21.21,100,19.0012,1,8,9,Janeiro,Domingo,2,0
27,2011-01-02 03:00:00,Primavera,0,0,Nublado,18.86,22.725,94,12.998,2,4,6,Janeiro,Domingo,3,0
28,2011-01-02 04:00:00,Primavera,0,0,Nublado,18.86,22.725,94,12.998,2,1,3,Janeiro,Domingo,4,0
29,2011-01-02 06:00:00,Primavera,0,0,Chuva Leve/Neve Leve ,17.22,21.21,77,19.9995,0,2,2,Janeiro,Domingo,6,0
30,2011-01-02 07:00:00,Primavera,0,0,Nublado,16.4,20.455,76,12.998,0,1,1,Janeiro,Domingo,7,0
31,2011-01-02 08:00:00,Primavera,0,0,Chuva Leve/Neve Leve ,16.4,20.455,71,15.0013,0,8,8,Janeiro,Domingo,8,0
32,2011-01-02 09:00:00,Primavera,0,0,Nublado,15.58,19.695,76,15.0013,1,19,20,Janeiro,Domingo,9,0
33,2011-01-02 10:00:00,Primavera,0,0,Nublado,14.76,17.425,81,15.0013,7,46,53,Janeiro,Domingo,10,0
34,2011-01-02 11:00:00,Primavera,0,0,Nublado,14.76,16.665,71,16.9979,16,54,70,Janeiro,Domingo,11,0
35,2011-01-02 12:00:00,Primavera,0,0,Nublado,14.76,16.665,66,19.9995,20,73,93,Janeiro,Domingo,12,0
36,2011-01-02 13:00:00,Primavera,0,0,Nublado,14.76,17.425,66,8.9981,11,64,75,Janeiro,Domingo,13,0
37,2011-01-02 14:00:00,Primavera,0,0,Chuva Leve/Neve Leve ,14.76,17.425,76,12.998,4,55,59,Janeiro,Domingo,14,0
38,2011-01-02 15:00:00,Primavera,0,0,Chuva Leve/Neve Leve ,13.94,16.665,81,11.0014,19,55,74,Janeiro,Domingo,15,0
39,2011-01-02 16:00:00,Primavera,0,0,Chuva Leve/Neve Leve ,13.94,16.665,71,11.0014,9,67,76,Janeiro,Domingo,16,0
40,2011-01-02 17:00:00,Primavera,0,0,Tempo Limpo,13.94,16.665,57,12.998,7,58,65,Janeiro,Domingo,17,1
41,2011-01-02 18:00:00,Primavera,0,0,Nublado,14.76,16.665,46,22.0028,10,43,53,Janeiro,Domingo,18,0
42,2011-01-02 19:00:00,Primavera,0,0,Tempo Limpo,13.12,14.395,42,30.0026,1,29,30,Janeiro,Domingo,19,1
43,2011-01-02 20:00:00,Primavera,0,0,Tempo Limpo,12.3,13.635,39,23.9994,5,17,22,Janeiro,Domingo,20,1
44,2011-01-02 21:00:00,Primavera,0,0,Tempo Limpo,10.66,11.365,44,22.0028,11,20,31,Janeiro,Domingo,21,1
45,2011-01-02 22:00:00,Primavera,0,0,Tempo Limpo,9.84,10.605,44,19.9995,0,9,9,Janeiro,Domingo,22,1
46,2011-01-02 23:00:00,Primavera,0,0,Tempo Limpo,9.02,11.365,47,11.0014,0,8,8,Janeiro,Domingo,23,1
47,2011-01-03 00:00:00,Primavera,0,1,Tempo Limpo,9.02,9.85,44,23.9994,0,5,5,Janeiro,Segunda-feira,0,1
48,2011-01-03 01:00:00,Primavera,0,1,Tempo Limpo,8.2,8.335,44,27.9993,0,2,2,Janeiro,Segunda-feira,1,1
49,2011-01-03 04:00:00,Primavera,0,1,Tempo Limpo,6.56,6.82,47,26.0027,0,1,1,Janeiro,Segunda-feira,4,1
50,2011-01-03 05:00:00,Primavera,0,1,Tempo Limpo,6.56,6.82,47,19.0012,0,3,3,Janeiro,Segunda-feira,5,1
51,2011-01-03 06:00:00,Primavera,0,1,Tempo Limpo,5.74,5.305,50,26.0027,0,30,30,Janeiro,Segunda-feira,6,1
52,2011-01-03 07:00:00,Primavera,0,1,Tempo Limpo,5.74,6.82,50,12.998,1,63,64,Janeiro,Segunda-feira,7,1
53,2011-01-03 08:00:00,Primavera,0,1,Tempo Limpo,5.74,6.06,50,19.0012,1,153,154,Janeiro,Segunda-feira,8,1
54,2011-01-03 09:00:00,Primavera,0,1,Tempo Limpo,6.56,6.82,43,26.0027,7,81,88,Janeiro,Segunda-feira,9,1
55,2011-01-03 10:00:00,Primavera,0,1,Tempo Limpo,7.38,8.335,43,16.9979,11,33,44,Janeiro,Segunda-feira,10,1
56,2011-01-03 11:00:00,Primavera,0,1,Tempo Limpo,8.2,9.09,40,22.0028,10,41,51,Janeiro,Segunda-feira,11,1
57,2011-01-03 12:00:00,Primavera,0,1,Tempo Limpo,9.02,10.605,35,19.9995,13,48,61,Janeiro,Segunda-feira,12,1
58,2011-01-03 13:00:00,Primavera,0,1,Tempo Limpo,9.84,10.605,35,19.0012,8,53,61,Janeiro,Segunda-feira,13,1
59,2011-01-03 14:00:00,Primavera,0,1,Tempo Limpo,10.66,12.12,30,19.0012,11,66,77,Janeiro,Segunda-feira,14,1
60,2011-01-03 15:00:00,Primavera,0,1,Tempo Limpo,10.66,12.12,30,16.9979,14,58,72,Janeiro,Segunda-feira,15,1
61,2011-01-03 16:00:00,Primavera,0,1,Tempo Limpo,10.66,12.12,30,16.9979,9,67,76,Janeiro,Segunda-feira,16,1
62,2011-01-03 17:00:00,Primavera,0,1,Tempo Limpo,9.84,11.365,30,15.0013,11,146,157,Janeiro,Segunda-feira,17,1
63,2011-01-03 18:00:00,Primavera,0,1,Tempo Limpo,9.84,12.88,32,7.0015,9,148,157,Janeiro,Segunda-feira,18,1
64,2011-01-03 19:00:00,Primavera,0,1,Tempo Limpo,8.2,12.88,47,0.0,8,102,110,Janeiro,Segunda-feira,19,1
65,2011-01-03 20:00:00,Primavera,0,1,Tempo Limpo,8.2,11.365,47,7.0015,3,49,52,Janeiro,Segunda-feira,20,1
66,2011-01-03 21:00:00,Primavera,0,1,Tempo Limpo,7.38,9.85,64,8.9981,3,49,52,Janeiro,Segunda-feira,21,1
67,2011-01-03 22:00:00,Primavera,0,1,Tempo Limpo,5.74,7.575,69,8.9981,0,20,20,Janeiro,Segunda-feira,22,1
68,2011-01-03 23:00:00,Primavera,0,1,Tempo Limpo,7.38,10.605,55,7.0015,1,11,12,Janeiro,Segunda-feira,23,1
69,2011-01-04 00:00:00,Primavera,0,1,Tempo Limpo,6.56,9.09,55,7.0015,0,5,5,Janeiro,Terça-feira,0,1
70,2011-01-04 01:00:00,Primavera,0,1,Tempo Limpo,6.56,9.09,59,7.0015,0,2,2,Janeiro,Terça-feira,1,1
71,2011-01-04 02:00:00,Primavera,0,1,Tempo Limpo,5.74,7.575,63,8.9981,0,1,1,Janeiro,Terça-feira,2,1
72,2011-01-04 04:00:00,Primavera,0,1,Tempo Limpo,5.74,9.09,63,6.0032,0,2,2,Janeiro,Terça-feira,4,1
73,2011-01-04 05:00:00,Primavera,0,1,Tempo Limpo,4.92,7.575,68,7.0015,0,4,4,Janeiro,Terça-feira,5,1
74,2011-01-04 06:00:00,Primavera,0,1,Tempo Limpo,4.92,7.575,74,7.0015,0,36,36,Janeiro,Terça-feira,6,1
75,2011-01-04 07:00:00,Primavera,0,1,Tempo Limpo,4.92,7.575,74,8.9981,2,92,94,Janeiro,Terça-feira,7,1
76,2011-01-04 08:00:00,Primavera,0,1,Tempo Limpo,5.74,7.575,69,11.0014,2,177,179,Janeiro,Terça-feira,8,1
77,2011-01-04 09:00:00,Primavera,0,1,Tempo Limpo,6.56,7.575,64,15.0013,2,98,100,Janeiro,Terça-feira,9,1
78,2011-01-04 10:00:00,Primavera,0,1,Nublado,6.56,6.82,69,22.0028,5,37,42,Janeiro,Terça-feira,10,0
79,2011-01-04 11:00:00,Primavera,0,1,Tempo Limpo,9.02,10.605,51,19.9995,7,50,57,Janeiro,Terça-feira,11,1
80,2011-01-04 12:00:00,Primavera,0,1,Tempo Limpo,9.02,11.365,51,11.0014,12,66,78,Janeiro,Terça-feira,12,1
81,2011-01-04 13:00:00,Primavera,0,1,Tempo Limpo,9.84,11.365,56,12.998,18,79,97,Janeiro,Terça-feira,13,1
82,2011-01-04 14:00:00,Primavera,0,1,Tempo Limpo,10.66,12.88,52,15.0013,9,54,63,Janeiro,Terça-feira,14,1
83,2011-01-04 15:00:00,Primavera,0,1,Tempo Limpo,11.48,13.635,52,16.9979,17,48,65,Janeiro,Terça-feira,15,1
84,2011-01-04 16:00:00,Primavera,0,1,Tempo Limpo,12.3,14.395,49,16.9979,15,68,83,Janeiro,Terça-feira,16,1
85,2011-01-04 17:00:00,Primavera,0,1,Tempo Limpo,11.48,13.635,48,15.0013,10,202,212,Janeiro,Terça-feira,17,1
86,2011-01-04 18:00:00,Primavera,0,1,Tempo Limpo,10.66,12.88,48,12.998,3,179,182,Janeiro,Terça-feira,18,1
87,2011-01-04 19:00:00,Primavera,0,1,Tempo Limpo,9.84,12.88,48,7.0015,2,110,112,Janeiro,Terça-feira,19,1
